time,acceleration x,acceleration y,acceleration z,gyroscope x,gyroscope y,gyroscope z
5.7103,2.6767,0.2873,-9.8186,0.0043,-0.0115,0.2595
5.7299,2.6624,0.1221,-9.6917,0.0041,-0.0119,0.1221
5.7493,2.6839,0.0622,-9.7372,0.0049,-0.0125,0.2137
5.7678,2.7102,0.0982,-9.9096,0.0054,-0.0112,0.2290
5.7871,2.6576,0.0982,-9.7899,0.0037,-0.0116,0.2748
5.8048,2.7509,0.0551,-9.8090,0.0037,-0.0134,0.1679
5.8234,2.7246,0.1173,-9.8450,0.0028,-0.0134,0.3588
5.8420,2.6935,0.1317,-9.7947,0.0029,-0.0121,0.3130
5.8607,2.6480,0.0838,-9.6798,0.0052,-0.0118,0.1603
5.8794,2.6911,0.2849,-9.6750,0.0040,-0.0122,0.2672
5.8982,2.6576,0.1556,-9.8593,0.0045,-0.0122,0.1832
5.9176,2.7007,0.1508,-9.7923,0.0033,-0.0114,0.1679
5.9367,2.6432,0.0814,-9.8043,0.0046,-0.0110,0.2824
5.9557,2.7102,0.0024,-9.7851,0.0055,-0.0119,0.2443
5.9742,2.6983,0.1125,-9.8210,0.0054,-0.0128,0.1908
5.9931,2.6959,0.1317,-9.8354,0.0043,-0.0124,0.2977
6.0119,2.6647,0.0096,-9.8162,0.0027,-0.0131,0.3206
6.0306,2.6600,0.1197,-9.8689,0.0042,-0.0113,0.2595
6.0487,2.7007,0.1173,-9.7061,0.0043,-0.0133,0.2595
6.0671,2.6791,0.0886,-9.7659,0.0029,-0.0130,0.2672
6.0868,2.6767,0.1484,-9.7444,0.0033,-0.0114,0.2901
6.1055,2.7198,0.1125,-9.7755,0.0029,-0.0128,0.2137
6.1246,2.6671,0.1221,-9.9455,0.0041,-0.0114,0.2214
6.1435,2.6647,0.1149,-9.9575,0.0041,-0.0111,0.0687
6.1622,2.6935,0.1006,-9.7659,0.0039,-0.0108,0.2519
6.1812,2.6360,0.0814,-9.6654,0.0036,-0.0118,0.2672
6.1996,2.6480,0.1437,-9.9599,0.0036,-0.0103,0.2137
6.2196,2.6456,0.0790,-9.9599,0.0036,-0.0120,0.0305
6.2386,2.6815,0.0862,-9.7300,0.0040,-0.0139,0.3969
6.2580,2.6312,0.1101,-9.8785,0.0031,-0.0119,0.2443
6.2763,2.7102,0.0886,-9.7133,0.0064,-0.0110,0.0687
6.2946,2.7174,0.1293,-9.8354,0.0028,-0.0118,0.2061
6.3125,2.6983,0.1101,-9.7085,0.0026,-0.0121,0.3969
6.3305,2.6121,0.1293,-9.7707,0.0049,-0.0120,0.2214
6.3490,2.6408,0.0000,-9.8426,0.0033,-0.0118,0.1756
6.3682,2.7294,0.0790,-9.9096,0.0031,-0.0108,0.1832
6.3869,2.4972,0.1030,-9.9288,0.0051,-0.0117,0.2519
6.4064,2.6576,0.1413,-9.7899,0.0038,-0.0126,0.3740
6.4262,2.6935,0.0886,-9.7492,0.0037,-0.0101,0.1679
6.4458,2.6887,0.1101,-9.8952,0.0043,-0.0115,0.1221
6.4646,2.6624,0.1125,-9.9527,0.0045,-0.0119,0.2977
6.4844,2.7126,0.1006,-9.6654,0.0047,-0.0105,0.0840
6.5047,2.7054,0.1317,-9.7827,0.0027,-0.0119,0.1603
6.5258,2.6480,0.0958,-9.6941,0.0041,-0.0117,0.2214
6.5450,2.6384,0.1556,-9.6989,0.0040,-0.0112,0.1985
6.5639,2.6959,0.1293,-9.9048,0.0048,-0.0112,0.2672
6.5820,2.6743,0.0646,-9.7372,0.0048,-0.0116,0.1069
6.6008,2.6791,0.0766,-9.7612,0.0049,-0.0121,0.1908
6.6196,2.7078,0.1437,-9.9120,0.0043,-0.0111,0.3130
6.6391,2.6671,0.1317,-9.8114,0.0041,-0.0111,0.0916
6.6584,2.6504,0.1101,-9.7444,0.0034,-0.0123,0.2366
6.6778,2.6983,0.0910,-9.8258,0.0032,-0.0113,0.3893
6.6982,2.6959,0.0814,-9.9048,0.0029,-0.0110,0.2595
6.7173,2.6935,0.2538,-9.9575,0.0043,-0.0117,0.2824
6.7382,2.6839,0.2849,-9.7372,0.0040,-0.0122,0.2137
6.7587,2.6839,0.0455,-9.6630,0.0026,-0.0117,0.1603
6.7791,2.6647,0.1006,-9.8234,0.0045,-0.0117,0.1527
6.7982,2.6504,0.1317,-9.8713,0.0043,-0.0111,0.0992
6.8172,2.6911,0.1053,-9.8569,0.0023,-0.0122,0.1298
6.8359,2.7414,0.0934,-9.7683,0.0043,-0.0110,0.2748
6.8544,2.6887,0.0886,-9.7851,0.0050,-0.0126,0.1298
6.8732,2.6647,0.0599,-9.8426,0.0042,-0.0111,0.1450
6.8927,2.6528,0.2011,-9.9240,0.0036,-0.0126,0.2061
6.9115,2.6791,0.1173,-9.7827,0.0043,-0.0124,0.2290
6.9311,2.6815,0.1389,-9.8761,0.0037,-0.0131,0.2214
6.9499,2.6671,0.0718,-9.8474,0.0041,-0.0115,0.2137
6.9702,2.6743,0.0814,-9.7875,0.0033,-0.0112,0.2214
6.9914,2.6935,0.1532,-9.8521,0.0041,-0.0112,0.1832
