time,roll,pitch
11.0939,-7.9103,-13.9505
11.1033,-5.3041,-11.6358
11.1135,-6.6810,-10.4266
11.1222,-7.7231,-13.0945
11.1318,-8.1279,-13.3727
11.1418,-12.4513,-15.2608
11.1516,-13.8816,-17.8392
11.1618,-10.7097,-16.8508
11.1703,-8.9550,-13.8139
11.1805,-8.6316,-17.1609
11.1905,-10.2035,-14.6071
11.2001,-9.2969,-12.8178
11.2101,-8.6782,-12.1024
11.2196,-8.2104,-12.8613
11.2371,-6.7588,-9.5530
11.2467,-5.0255,-9.1633
11.2553,-9.3710,-13.1656
11.2651,-13.8459,-13.9489
11.2750,-11.0779,-11.2683
11.2844,-12.3947,-12.4239
11.2940,-10.9101,-11.6128
11.3050,-12.4808,-10.7550
11.3154,-11.1854,-8.9162
11.3252,-9.0844,-8.6088
11.3340,-8.3651,-6.6548
11.3441,-6.7397,-7.7382
11.3537,-7.3741,-7.3598
11.3631,-7.5685,-5.9105
11.3729,-7.4471,-4.8502
11.3819,-12.4749,-8.4192
11.3922,-16.1079,-7.8922
11.4010,-11.6086,-9.8717
11.4113,-12.7947,-7.5124
11.4214,-9.6009,-10.4238
11.4313,-8.4469,-5.1354
11.4409,-8.0284,-2.7365
11.4496,-5.4853,-2.8991
11.4596,-7.5018,-0.2293
11.4698,-6.7119,5.7807
11.4783,-7.0143,4.1807
11.4881,-7.3875,2.7448
11.4970,-9.5156,4.0303
11.5069,-12.5549,-4.3433
11.5170,-12.9603,-7.7245
11.5257,-8.4210,-6.5930
11.5359,-8.6511,-3.5862
11.5454,-6.0663,-2.4427
11.5571,-8.5705,-0.2193
11.5676,-9.3609,3.0839
11.5765,-9.0430,5.8574
11.5872,-8.0582,3.9152
11.5976,-8.6860,3.0348
11.6067,-14.7542,-3.5581
11.6168,-14.6467,-10.8567
11.6269,-12.8691,-6.8527
11.6369,-12.8523,-5.7763
11.6467,-11.7151,-2.4110
11.6574,-8.2143,3.3335
11.6675,-5.8325,6.0852
11.6779,-7.4654,9.5329
11.6865,-10.6323,10.7219
11.6962,-10.9269,7.8589
11.7060,-11.6068,6.9999
11.7149,-13.6319,2.0379
11.7246,-10.4814,0.8263
11.7340,-12.5946,0.2024
11.7436,-11.2220,0.2022
11.7539,-8.4154,2.3755
11.7646,-10.2068,8.0678
11.7744,-10.8091,9.1497
11.7844,-8.8378,11.2530
11.7994,-8.0933,12.5366
11.8091,-10.2682,10.0311
11.8191,-15.5798,4.6798
11.8290,-12.9200,6.3045
11.8395,-12.2900,4.7591
11.8495,-11.5950,4.5352
11.8596,-14.4606,5.5306
11.8698,-9.6118,7.9858
11.8789,-8.3403,12.1307
11.8884,-6.9641,13.8325
11.8988,-4.2083,15.4272
11.9085,-7.3151,16.8097
11.9187,-7.8817,13.4868
11.9288,-12.6063,7.6082
11.9374,-16.7163,5.2236
11.9475,-10.9859,9.1326
11.9576,-8.8155,12.0899
11.9674,-7.2120,11.4244
11.9773,-11.5833,17.7537
11.9867,-11.4096,19.0516
12.0026,-10.9415,21.8464
12.0125,-6.7743,22.9809
12.0212,-7.8728,24.4038
12.0312,-8.0896,22.2455
12.0408,-5.9810,19.7981
12.0502,-6.9517,19.2832
12.0603,-6.0550,17.7659
12.0690,-13.9207,15.8644
12.0793,-12.5400,14.2966
12.0889,-9.8462,16.6677
12.0983,-11.0138,19.9665
12.1080,-10.7621,24.0726
12.1166,-10.3942,21.6448
12.1259,-6.2765,23.2636
12.1355,-2.9439,23.9370
12.1454,-4.7553,23.8030
12.1557,-6.1386,21.3736
12.1645,-5.3252,20.0991
12.1741,-9.0260,19.9505
12.1835,-9.1869,18.9905
12.1928,-10.3515,17.5335
12.2025,-5.8722,20.5528
12.2114,-5.1184,23.1098
12.2211,-5.3028,24.1579
12.2312,-4.1066,29.3265
12.2400,0.4777,24.3538
12.2497,-0.2917,22.8818
12.2594,-0.2635,24.9936
12.2690,-2.2054,25.5107
12.2795,-7.5967,23.6638
12.2880,-2.3539,24.8610
12.2977,-3.2080,25.1189
12.3067,-2.4325,23.5432
12.3170,-0.1175,23.7731
12.3265,-0.7948,26.0355
12.3356,0.7796,27.3913
12.3456,-0.8259,30.1800
12.3543,1.1438,30.4175
12.3640,0.1114,32.8942
12.3740,-2.1355,34.9567
12.3826,-7.4990,31.5208
12.3927,-9.1399,24.2411
12.4023,-3.7545,23.5132
12.4117,-3.2013,23.8334
12.4211,-4.4362,25.0033
12.4296,-6.5620,24.0970
12.4395,-1.7698,27.9210
12.4490,-1.8178,31.7815
12.4583,-1.5366,34.2040
12.4684,-0.6140,36.0078
12.4772,1.6676,35.4735
12.4872,-6.3180,32.4154
12.4967,-8.4812,30.2834
12.5060,-7.3388,31.7469
12.5160,-8.4808,32.3540
12.5246,-9.5549,31.6720
12.5346,-5.6543,33.4220
12.5444,-3.2165,36.5935
12.5538,-2.7526,38.2962
12.5634,-2.4640,40.6299
12.5729,1.5610,39.7160
12.5824,-2.5173,38.9002
12.5926,-4.3990,36.2209
12.6013,-5.1922,32.7112
12.6109,-6.9948,34.5439
12.6208,-6.1338,34.0532
12.6302,-7.2725,35.3837
12.6403,-6.7323,36.7851
12.6491,-5.1985,38.8737
12.6585,-1.6530,41.6189
12.6685,-0.2234,43.8566
12.6771,0.7981,45.9935
12.6863,0.9792,46.7843
12.6957,1.4829,47.8467
12.7051,-2.6153,46.2440
12.7150,-5.3887,43.0726
12.7235,-1.7649,39.5673
12.7333,-5.5077,40.1340
12.7431,-1.7901,39.2540
12.7523,-1.6020,41.7466
12.7627,-0.7939,45.7977
12.7715,-0.3028,47.6671
12.7814,-1.2073,47.6576
12.7914,-0.3023,49.7078
12.8010,-0.7248,50.3115
12.8106,0.5166,49.0672
12.8191,2.9242,47.4499
12.8291,-3.9417,41.1528
12.8392,0.0146,39.8689
12.8486,2.1248,39.1602
12.8582,4.7786,42.6013
12.8669,2.1297,47.1842
12.8766,-0.2899,47.1211
12.8873,-2.3081,46.1138
12.8958,-4.8792,47.0183
12.9050,-5.6603,43.5270
12.9148,-4.7150,39.0767
12.9246,-4.8801,40.5622
12.9341,-6.1551,42.7641
12.9426,-2.6471,42.7724
12.9524,0.2684,47.3150
12.9623,9.4595,50.2312
12.9723,4.3723,54.5969
12.9824,5.8905,52.1791
12.9910,0.8278,46.3110
13.0007,-0.7418,37.9746
13.0103,-0.2120,36.9635
13.0189,0.0152,38.3109
13.0292,-1.6560,39.8906
13.0385,-2.0122,45.0158
13.0478,0.8318,46.8482
13.0576,2.7367,53.9594
13.0663,3.2095,56.1250
